Number of nodes: 11
Number of edges: 274
Number of CESs: 153
Number of events: 1158
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	compose new email, enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address
1	compose new email, enter receiver's email address, enter email subject, enter receiver's email address, get receiver's public key
1	compose new email, enter receiver's email address, enter email subject, enter email subject, enter email body
2	compose new email, enter receiver's email address, enter email subject, enter email subject, enter receiver's email address
1	compose new email, enter receiver's email address, enter email subject, enter email subject, enter email subject
1	compose new email, enter receiver's email address, enter receiver's email address, enter email subject, enter email body
2	compose new email, enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address
1	compose new email, enter receiver's email address, enter receiver's email address, enter email subject, enter email subject
1	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject
2	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address, send email
1	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address, get receiver's public key
1	compose new email, enter receiver's email address, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
1	compose new email, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key, send email
2	enter receiver's email address, enter receiver's email address, enter email subject, enter email body, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email body, enter email body
2	enter receiver's email address, enter receiver's email address, enter email subject, enter email body, enter email subject
1	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address, enter email subject
4	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address, send email
4	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address, get receiver's public key
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email subject, enter email body
3	enter receiver's email address, enter receiver's email address, enter email subject, enter email subject, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email subject, enter email subject
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject, enter email body
3	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject, enter email subject
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject
2	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address, send email
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
4	enter receiver's email address, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key, send email
1	compose new email, enter email subject, enter email body, enter receiver's email address, enter email subject
1	compose new email, enter email subject, enter email body, enter receiver's email address, send email
1	compose new email, enter email subject, enter email body, enter receiver's email address, enter receiver's email address
1	compose new email, enter email subject, enter email body, enter receiver's email address, get receiver's public key
1	compose new email, enter email subject, enter email body, enter email body, enter receiver's email address
1	compose new email, enter email subject, enter email body, enter email body, enter email body
1	compose new email, enter email subject, enter email body, enter email body, enter email subject
1	compose new email, enter email subject, enter email body, enter email subject, enter email body
1	compose new email, enter email subject, enter email body, enter email subject, enter receiver's email address
1	compose new email, enter email subject, enter email body, enter email subject, enter email subject
1	compose new email, enter email subject, enter receiver's email address, enter email subject, enter email body
2	compose new email, enter email subject, enter receiver's email address, enter email subject, enter receiver's email address
1	compose new email, enter email subject, enter receiver's email address, enter email subject, enter email subject
1	compose new email, enter email subject, enter receiver's email address, enter receiver's email address, enter email subject
2	compose new email, enter email subject, enter receiver's email address, enter receiver's email address, send email
1	compose new email, enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	compose new email, enter email subject, enter receiver's email address, enter receiver's email address, get receiver's public key
1	compose new email, enter email subject, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
1	compose new email, enter email subject, enter email subject, enter email body, enter receiver's email address
1	compose new email, enter email subject, enter email subject, enter email body, enter email body
1	compose new email, enter email subject, enter email subject, enter email body, enter email subject
1	compose new email, enter email subject, enter email subject, enter receiver's email address, enter email subject
1	compose new email, enter email subject, enter email subject, enter receiver's email address, send email
1	compose new email, enter email subject, enter email subject, enter receiver's email address, enter receiver's email address
1	compose new email, enter email subject, enter email subject, enter receiver's email address, get receiver's public key
1	compose new email, enter email subject, enter email subject, enter email subject, enter email body
1	compose new email, enter email subject, enter email subject, enter email subject, enter receiver's email address
1	compose new email, enter email subject, enter email subject, enter email subject, enter email subject
3	enter email subject, enter receiver's email address, enter email subject, enter email body, enter receiver's email address
2	enter email subject, enter receiver's email address, enter email subject, enter email body, enter email body
2	enter email subject, enter receiver's email address, enter email subject, enter email body, enter email subject
2	enter email subject, enter receiver's email address, enter email subject, enter receiver's email address, enter email subject
5	enter email subject, enter receiver's email address, enter email subject, enter receiver's email address, send email
5	enter email subject, enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address
2	enter email subject, enter receiver's email address, enter email subject, enter receiver's email address, get receiver's public key
2	enter email subject, enter receiver's email address, enter email subject, enter email subject, enter email body
3	enter email subject, enter receiver's email address, enter email subject, enter email subject, enter receiver's email address
2	enter email subject, enter receiver's email address, enter email subject, enter email subject, enter email subject
2	enter email subject, enter receiver's email address, enter receiver's email address, enter email subject, enter email body
3	enter email subject, enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address
2	enter email subject, enter receiver's email address, enter receiver's email address, enter email subject, enter email subject
2	enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject
22	enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address, send email
2	enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address
2	enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter email subject, enter receiver's email address, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
4	enter email subject, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key, send email
2	compose new email, enter email body, enter receiver's email address, enter email subject, enter email body
3	compose new email, enter email body, enter receiver's email address, enter email subject, enter receiver's email address
2	compose new email, enter email body, enter receiver's email address, enter email subject, enter email subject
2	compose new email, enter email body, enter receiver's email address, enter receiver's email address, enter email subject
3	compose new email, enter email body, enter receiver's email address, enter receiver's email address, send email
2	compose new email, enter email body, enter receiver's email address, enter receiver's email address, enter receiver's email address
2	compose new email, enter email body, enter receiver's email address, enter receiver's email address, get receiver's public key
1	compose new email, enter email body, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
2	compose new email, enter email body, enter email body, enter receiver's email address, enter email subject
2	compose new email, enter email body, enter email body, enter receiver's email address, send email
2	compose new email, enter email body, enter email body, enter receiver's email address, enter receiver's email address
2	compose new email, enter email body, enter email body, enter receiver's email address, get receiver's public key
2	compose new email, enter email body, enter email body, enter email body, enter receiver's email address
1	compose new email, enter email body, enter email body, enter email body, enter email body
1	compose new email, enter email body, enter email body, enter email body, enter email subject
1	compose new email, enter email body, enter email body, enter email subject, enter email body
2	compose new email, enter email body, enter email body, enter email subject, enter receiver's email address
1	compose new email, enter email body, enter email body, enter email subject, enter email subject
6	compose new email, enter email body, enter email subject, enter email body, enter receiver's email address
2	compose new email, enter email body, enter email subject, enter email body, enter email body
2	compose new email, enter email body, enter email subject, enter email body, enter email subject
12	compose new email, enter email body, enter email subject, enter receiver's email address, enter email subject
2	compose new email, enter email body, enter email subject, enter receiver's email address, send email
12	compose new email, enter email body, enter email subject, enter receiver's email address, enter receiver's email address
2	compose new email, enter email body, enter email subject, enter receiver's email address, get receiver's public key
2	compose new email, enter email body, enter email subject, enter email subject, enter email body
6	compose new email, enter email body, enter email subject, enter email subject, enter receiver's email address
2	compose new email, enter email body, enter email subject, enter email subject, enter email subject
1	enter email body, enter receiver's email address, enter email subject, enter email body, enter receiver's email address
1	enter email body, enter receiver's email address, enter email subject, enter email body, enter email body
2	enter email body, enter receiver's email address, enter email subject, enter email body, enter email subject
1	enter email body, enter receiver's email address, enter email subject, enter receiver's email address, enter email subject
2	enter email body, enter receiver's email address, enter email subject, enter receiver's email address, send email
4	enter email body, enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address
1	enter email body, enter receiver's email address, enter email subject, enter receiver's email address, get receiver's public key
1	enter email body, enter receiver's email address, enter email subject, enter email subject, enter email body
2	enter email body, enter receiver's email address, enter email subject, enter email subject, enter receiver's email address
1	enter email body, enter receiver's email address, enter email subject, enter email subject, enter email subject
1	enter email body, enter receiver's email address, enter receiver's email address, enter email subject, enter email body
2	enter email body, enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address
1	enter email body, enter receiver's email address, enter receiver's email address, enter email subject, enter email subject
1	enter email body, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject
1	enter email body, enter receiver's email address, enter receiver's email address, enter receiver's email address, send email
1	enter email body, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter email body, enter receiver's email address, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter email body, enter receiver's email address, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
3	enter email body, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key, send email
1	enter email subject, enter email subject, enter email body, enter receiver's email address, enter email subject
4	enter email subject, enter email subject, enter email body, enter receiver's email address, send email
1	enter email subject, enter email subject, enter email body, enter receiver's email address, enter receiver's email address
1	enter email subject, enter email subject, enter email body, enter receiver's email address, get receiver's public key
2	enter email subject, enter email subject, enter email body, enter email body, enter receiver's email address
1	enter email subject, enter email subject, enter email body, enter email body, enter email body
1	enter email subject, enter email subject, enter email body, enter email body, enter email subject
1	enter email subject, enter email subject, enter email body, enter email subject, enter email body
3	enter email subject, enter email subject, enter email body, enter email subject, enter receiver's email address
1	enter email subject, enter email subject, enter email body, enter email subject, enter email subject
1	enter email subject, enter email subject, enter receiver's email address, enter email subject, enter email body
3	enter email subject, enter email subject, enter receiver's email address, enter email subject, enter receiver's email address
1	enter email subject, enter email subject, enter receiver's email address, enter email subject, enter email subject
1	enter email subject, enter email subject, enter receiver's email address, enter receiver's email address, enter email subject
2	enter email subject, enter email subject, enter receiver's email address, enter receiver's email address, send email
5	enter email subject, enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter email subject, enter email subject, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter email subject, enter email subject, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
2	enter email subject, enter email subject, enter email subject, enter email body, enter receiver's email address
1	enter email subject, enter email subject, enter email subject, enter email body, enter email body
1	enter email subject, enter email subject, enter email subject, enter email body, enter email subject
1	enter email subject, enter email subject, enter email subject, enter receiver's email address, enter email subject
4	enter email subject, enter email subject, enter email subject, enter receiver's email address, send email
2	enter email subject, enter email subject, enter email subject, enter receiver's email address, enter receiver's email address
1	enter email subject, enter email subject, enter email subject, enter receiver's email address, get receiver's public key
1	enter email subject, enter email subject, enter email subject, enter email subject, enter email body
2	enter email subject, enter email subject, enter email subject, enter email subject, enter receiver's email address
1	enter email subject, enter email subject, enter email subject, enter email subject, enter email subject
1	enter email body, enter email body, enter receiver's email address, enter email subject, enter email body
2	enter email body, enter email body, enter receiver's email address, enter email subject, enter receiver's email address
1	enter email body, enter email body, enter receiver's email address, enter email subject, enter email subject
1	enter email body, enter email body, enter receiver's email address, enter receiver's email address, enter email subject
1	enter email body, enter email body, enter receiver's email address, enter receiver's email address, send email
1	enter email body, enter email body, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter email body, enter email body, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter email body, enter email body, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
1	enter email body, enter email body, enter email body, enter receiver's email address, enter email subject
2	enter email body, enter email body, enter email body, enter receiver's email address, send email
1	enter email body, enter email body, enter email body, enter receiver's email address, enter receiver's email address
1	enter email body, enter email body, enter email body, enter receiver's email address, get receiver's public key
1	enter email body, enter email body, enter email body, enter email body, enter receiver's email address
1	enter email body, enter email body, enter email body, enter email body, enter email body
1	enter email body, enter email body, enter email body, enter email body, enter email subject
1	enter email body, enter email body, enter email body, enter email subject, enter email body
1	enter email body, enter email body, enter email body, enter email subject, enter receiver's email address
1	enter email body, enter email body, enter email body, enter email subject, enter email subject
1	enter email body, enter email body, enter email subject, enter email body, enter receiver's email address
1	enter email body, enter email body, enter email subject, enter email body, enter email body
1	enter email body, enter email body, enter email subject, enter email body, enter email subject
1	enter email body, enter email body, enter email subject, enter receiver's email address, enter email subject
2	enter email body, enter email body, enter email subject, enter receiver's email address, send email
2	enter email body, enter email body, enter email subject, enter receiver's email address, enter receiver's email address
1	enter email body, enter email body, enter email subject, enter receiver's email address, get receiver's public key
1	enter email body, enter email body, enter email subject, enter email subject, enter email body
1	enter email body, enter email body, enter email subject, enter email subject, enter receiver's email address
1	enter email body, enter email body, enter email subject, enter email subject, enter email subject
2	enter email body, enter email subject, enter email body, enter receiver's email address, enter email subject
3	enter email body, enter email subject, enter email body, enter receiver's email address, send email
2	enter email body, enter email subject, enter email body, enter receiver's email address, enter receiver's email address
2	enter email body, enter email subject, enter email body, enter receiver's email address, get receiver's public key
2	enter email body, enter email subject, enter email body, enter email body, enter receiver's email address
1	enter email body, enter email subject, enter email body, enter email body, enter email body
1	enter email body, enter email subject, enter email body, enter email body, enter email subject
1	enter email body, enter email subject, enter email body, enter email subject, enter email body
2	enter email body, enter email subject, enter email body, enter email subject, enter receiver's email address
1	enter email body, enter email subject, enter email body, enter email subject, enter email subject
4	enter email body, enter email subject, enter receiver's email address, enter email subject, enter email body
6	enter email body, enter email subject, enter receiver's email address, enter email subject, enter receiver's email address
4	enter email body, enter email subject, enter receiver's email address, enter email subject, enter email subject
4	enter email body, enter email subject, enter receiver's email address, enter receiver's email address, enter email subject
2	enter email body, enter email subject, enter receiver's email address, enter receiver's email address, send email
12	enter email body, enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address
2	enter email body, enter email subject, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter email body, enter email subject, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
2	enter email body, enter email subject, enter email subject, enter email body, enter receiver's email address
1	enter email body, enter email subject, enter email subject, enter email body, enter email body
1	enter email body, enter email subject, enter email subject, enter email body, enter email subject
2	enter email body, enter email subject, enter email subject, enter receiver's email address, enter email subject
3	enter email body, enter email subject, enter email subject, enter receiver's email address, send email
2	enter email body, enter email subject, enter email subject, enter receiver's email address, enter receiver's email address
2	enter email body, enter email subject, enter email subject, enter receiver's email address, get receiver's public key
1	enter email body, enter email subject, enter email subject, enter email subject, enter email body
2	enter email body, enter email subject, enter email subject, enter email subject, enter receiver's email address
1	enter email body, enter email subject, enter email subject, enter email subject, enter email subject
1	enter email autoresponse date interval, enter autoresponse email body, enter email autoresponse date interval, enter autoresponse email body, enter email autoresponse date interval
1	enter autoresponse email body, enter email autoresponse date interval, enter autoresponse email body, enter email autoresponse date interval, enter autoresponse email body
0	Number of uncovered edges 
