Number of nodes: 18
Number of edges: 33
Number of CESs: 80
Number of events: 581
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email body
3	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email subject
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject
2	enter receiver's email address, enter receiver's email address, enter receiver's email address, send email
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, sign mail
5	enter receiver's email address, enter receiver's email address, get alias email addresses of receiver, send email
5	enter receiver's email address, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
4	enter receiver's email address, enter receiver's email address, sign mail, send email
1	compose new email, enter email subject, enter email body, enter receiver's email address
1	compose new email, enter email subject, enter email body, enter email body
1	compose new email, enter email subject, enter email body, enter email subject
1	compose new email, enter email subject, enter receiver's email address, enter email subject
1	compose new email, enter email subject, enter receiver's email address, send email
1	compose new email, enter email subject, enter receiver's email address, enter receiver's email address
1	compose new email, enter email subject, enter receiver's email address, get alias email addresses of receiver
1	compose new email, enter email subject, enter receiver's email address, get receiver's public key
1	compose new email, enter email subject, enter receiver's email address, sign mail
1	compose new email, enter email subject, enter email subject, enter email body
1	compose new email, enter email subject, enter email subject, enter receiver's email address
1	compose new email, enter email subject, enter email subject, enter email subject
2	enter email subject, enter receiver's email address, enter email subject, enter email body
6	enter email subject, enter receiver's email address, enter email subject, enter receiver's email address
2	enter email subject, enter receiver's email address, enter email subject, enter email subject
2	enter email subject, enter receiver's email address, enter receiver's email address, enter email subject
3	enter email subject, enter receiver's email address, enter receiver's email address, send email
4	enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address
2	enter email subject, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
2	enter email subject, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter email subject, enter receiver's email address, enter receiver's email address, sign mail
6	enter email subject, enter receiver's email address, get alias email addresses of receiver, send email
6	enter email subject, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
4	enter email subject, enter receiver's email address, sign mail, send email
2	compose new email, enter email body, enter receiver's email address, enter email subject
1	compose new email, enter email body, enter receiver's email address, send email
4	compose new email, enter email body, enter receiver's email address, enter receiver's email address
1	compose new email, enter email body, enter receiver's email address, get alias email addresses of receiver
1	compose new email, enter email body, enter receiver's email address, get receiver's public key
1	compose new email, enter email body, enter receiver's email address, sign mail
4	compose new email, enter email body, enter email body, enter receiver's email address
1	compose new email, enter email body, enter email body, enter email body
28	compose new email, enter email body, enter email body, enter email subject
1	compose new email, enter email body, enter email subject, enter email body
4	compose new email, enter email body, enter email subject, enter receiver's email address
1	compose new email, enter email body, enter email subject, enter email subject
1	enter email body, enter receiver's email address, enter email subject, enter email body
2	enter email body, enter receiver's email address, enter email subject, enter receiver's email address
1	enter email body, enter receiver's email address, enter email subject, enter email subject
1	enter email body, enter receiver's email address, enter receiver's email address, enter email subject
1	enter email body, enter receiver's email address, enter receiver's email address, send email
1	enter email body, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter email body, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
1	enter email body, enter receiver's email address, enter receiver's email address, get receiver's public key
1	enter email body, enter receiver's email address, enter receiver's email address, sign mail
3	enter email body, enter receiver's email address, get alias email addresses of receiver, send email
3	enter email body, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
3	enter email body, enter receiver's email address, sign mail, send email
2	enter email subject, enter email subject, enter email body, enter receiver's email address
1	enter email subject, enter email subject, enter email body, enter email body
1	enter email subject, enter email subject, enter email body, enter email subject
6	enter email subject, enter email subject, enter receiver's email address, enter email subject
6	enter email subject, enter email subject, enter receiver's email address, send email
8	enter email subject, enter email subject, enter receiver's email address, enter receiver's email address
2	enter email subject, enter email subject, enter receiver's email address, get alias email addresses of receiver
2	enter email subject, enter email subject, enter receiver's email address, get receiver's public key
1	enter email subject, enter email subject, enter receiver's email address, sign mail
1	enter email subject, enter email subject, enter email subject, enter email body
17	enter email subject, enter email subject, enter email subject, enter receiver's email address
1	enter email subject, enter email subject, enter email subject, enter email subject
1	enter email body, enter email body, enter receiver's email address, enter email subject
2	enter email body, enter email body, enter receiver's email address, send email
1	enter email body, enter email body, enter receiver's email address, enter receiver's email address
1	enter email body, enter email body, enter receiver's email address, get alias email addresses of receiver
1	enter email body, enter email body, enter receiver's email address, get receiver's public key
1	enter email body, enter email body, enter receiver's email address, sign mail
1	enter email body, enter email body, enter email body, enter receiver's email address
1	enter email body, enter email body, enter email body, enter email body
1	enter email body, enter email body, enter email body, enter email subject
4	enter email body, enter email body, enter email subject, enter email body
8	enter email body, enter email body, enter email subject, enter receiver's email address
18	enter email body, enter email body, enter email subject, enter email subject
4	enter email body, enter email subject, enter email body, enter receiver's email address
1	enter email body, enter email subject, enter email body, enter email body
1	enter email body, enter email subject, enter email body, enter email subject
2	enter email body, enter email subject, enter receiver's email address, enter email subject
3	enter email body, enter email subject, enter receiver's email address, send email
4	enter email body, enter email subject, enter receiver's email address, enter receiver's email address
2	enter email body, enter email subject, enter receiver's email address, get alias email addresses of receiver
2	enter email body, enter email subject, enter receiver's email address, get receiver's public key
1	enter email body, enter email subject, enter receiver's email address, sign mail
1	enter email body, enter email subject, enter email subject, enter email body
4	enter email body, enter email subject, enter email subject, enter receiver's email address
16	enter email body, enter email subject, enter email subject, enter email subject
1	enter email autoresponse date interval, enter autoresponse email body, enter email autoresponse date interval, enter autoresponse email body
2	enter autoresponse email body, enter email autoresponse date interval, enter autoresponse email body, enter email autoresponse date interval
15	enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key, send email
0	Number of uncovered edges 
